ID чека,Тип,Дата/Час,Фіскальний номер,Тип оплати,Сума (грн),Фіскальний номер ПРРО,Локальный номер ПРРО,Штрихкод,Шапка,Службова інформація,Знижка на чек
2b603bec-7549-439b-bd50-7ebd2b3e763e,SELL,2022-12-03 3:26:20,gQt1o-TqrjE,Готівка,385,4000330381,1,,,,
2b71f449-5b99-4bc6-bc64-31365c8db5b9,SELL,2022-12-18 23:13:25,rTQxIxAVHhU,Готівка,555,4000330381,1,,,,
2b86f17b-14ae-4868-89f2-6b703a71e477,SELL,2022-12-10 22:41:53,v-qJ-r29EEU,Готівка,135,4000330381,1,,,,
2bbe114c-6a5c-4289-b184-e6d51abd453b,SELL,2022-12-10 23:01:31,Vy_c4GKgzc0,Готівка,310,4000330381,1,,,,
2bd6f1b9-3f9d-4a8b-8981-bbac0d4d887a,SELL,2022-12-16 16:09:28,icmhFuNQXMA,Картка,1020,4000330381,1,,,,
2c0291d0-3945-4a9e-acdf-e8a25a1beb50,SELL,2022-12-23 22:22:42,z_qMsf-inXU,Готівка,270,4000330381,1,,,,
2c09dc08-beac-43bc-a693-18fe716e90bf,SELL,2022-12-23 22:56:50,Tqnsyr6UFAk,Готівка,780,4000330381,1,,,,
2c1ec4ff-ad11-400b-bcd5-0a1b4e77a683,SELL,2022-12-23 23:14:07,nWKTEzdOcDg,Готівка,375,4000330381,1,,,,
2c1ecbd8-7013-4a66-ae90-c21f09156c12,SELL,2022-12-04 18:15:51,FHcCYHM1fBs,Готівка,345,4000330381,1,,,,
2c479929-3f06-4f61-92b2-28badcb29a8e,SELL,2022-12-18 23:29:20,3kDFgJpsXVg,Готівка,855,4000330381,1,,,,
2cab02ef-96aa-4b3c-bfbf-6021ca3f1de8,SELL,2022-12-10 23:14:28,SWv2Xyt373k,Готівка,370,4000330381,1,,,,
2ccc51dd-a88d-482c-9ff1-0f638a829bfc,SELL,2022-12-03 2:22:15,63_NNgVdbSI,Готівка,200,4000330381,1,,,,
2ce7b6ed-a7da-49d4-a74d-0a05bd8623b0,SELL,2022-12-23 23:26:32,7-DBegcABIo,Готівка,485,4000330381,1,,,,
2d8b147b-4594-416f-8d40-0c0b676cd258,SELL,2022-12-03 3:06:43,2lhEfaWxT8U,Готівка,450,4000330381,1,,,,
2dbe151b-9b04-466b-a50a-2c5fc7b768e4,SELL,2022-12-16 21:21:50,YiBrUkyRCN4,Готівка,240,4000330381,1,,,,
2dd8e5d4-e84e-47e5-a854-ace65d2c8eb7,SELL,2022-12-18 22:40:17,9x5Iq4Mj88U,Готівка,140,4000330381,1,,,,
2de39be5-d57c-4cfe-af58-030a0f49f9b1,SELL,2022-12-10 23:32:41,aNpVUm1HAKE,Готівка,555,4000330381,1,,,,
2df1e96c-4d92-4454-a0b9-a37a64cbb2d5,SELL,2022-12-10 23:44:33,bIMu9P2fmeg,Готівка,420,4000330381,1,,,,
2e0ad27b-c76c-4296-a245-e37317246e58,SELL,2022-12-18 20:33:37,ND_4wkWSywE,Готівка,75,4000330381,1,,,,
2e6bdd80-1009-44a4-bcb6-7d3ff53b30a5,SELL,2022-12-16 20:47:42,LA5-wGN2mp0,Готівка,340,4000330381,1,,,,
2ecca471-3696-4c60-aafc-92330abb8180,SELL,2022-12-18 22:14:43,KXzsr9-Y3MA,Готівка,260,4000330381,1,,,,
2f1ec9d9-12ab-483f-a00a-6fbb96faa25f,SELL,2022-12-03 2:41:58,ZF_DQrAnniQ,Готівка,90,4000330381,1,,,,
2f3fee37-697f-4335-bfec-139f38597067,SELL,2022-12-16 20:34:59,y1zwy2LjH6s,Готівка,390,4000330381,1,,,,
2f8ee1cc-2d7e-416a-b5ff-4c103b574e5f,SELL,2022-12-03 3:15:10,XNEVPHXT43M,Готівка,740,4000330381,1,,,,
2fa25b6e-99c8-479e-b169-6767dc0e8608,SELL,2022-12-03 2:56:13,GCytvwUfe4U,Готівка,85,4000330381,1,,,,
3002ded8-54c8-4480-bee8-9ad4a6b5725d,SELL,2022-12-16 20:52:56,M2coplM2ujU,Готівка,300,4000330381,1,,,,
300c4c86-2acb-4c9f-b2ca-7f0d0bc441ea,SELL,2022-12-18 22:10:33,CHw_J0tGDSI,Готівка,375,4000330381,1,,,,
30d68b0f-72e8-43b3-84a0-5c5528eeee06,SELL,2022-12-10 21:49:23,pIukG5zwGrM,Готівка,835,4000330381,1,,,,
31021027-db52-4c38-a6f2-2b692c999c0c,SELL,2022-12-18 20:25:27,o0I4ReG5bLQ,Готівка,135,4000330381,1,,,,
